[GIN] 2026/08/05 - 14:24:37 | 200 | 29.683µs |             ::1 | GET      "/api/config"
[GIN] 2026/08/05 - 14:24:37 | 200 |   4.14ms |             ::1 | GET      "/assets/favicon.png"
[GIN] 2026/08/05 - 14:24:35 | 200 |   3.25ms |             ::1 | GET      "/login"
[GIN] 2026/08/05 - 14:24:35 | 200 |   3.04ms |             ::1 | GET      "/assets/index-C4cmSzCM.css"
[GIN] 2026/08/05 - 14:24:35 | 200 |   5.75ms |             ::1 | GET      "/assets/index-CJ4STKqk.js"
[GIN] 2026/08/05 - 14:24:35 | 200 | 53.227µs |             ::1 | GET      "/api/config"
[GIN] 2026/08/05 - 14:24:35 | 200 |   3.44ms |             ::1 | GET      "/assets/favicon.png"
[GIN] 2026/08/05 - 14:24:38 | 200 |   8.13ms |             ::1 | GET      "/login"
[GIN] 2026/08/05 - 14:24:38 | 200 |   3.56ms |             ::1 | GET      "/assets/index-C4cmSzCM.css"
[GIN] 2026/08/05 - 14:24:38 | 200 |   6.34ms |             ::1 | GET      "/assets/index-CJ4STKqk.js"
[GIN] 2026/08/05 - 14:24:38 | 200 | 21.761µs |             ::1 | GET      "/api/config"
[GIN] 2026/08/05 - 14:24:38 | 200 |   3.64ms |             ::1 | GET      "/assets/favicon.png"
[GIN] 2026/08/05 - 14:24:47 | 200 |   2.37ms |             ::1 | GET      "/login"
[GIN] 2026/08/05 - 14:24:47 | 200 |   3.53ms |             ::1 | GET      "/assets/index-C4cmSzCM.css"
[GIN] 2026/08/05 - 14:24:47 | 200 |    6.7ms |             ::1 | GET      "/assets/index-CJ4STKqk.js"
[GIN] 2026/08/05 - 14:24:47 | 200 | 32.706µs |             ::1 | GET      "/api/config"
[GIN] 2026/08/05 - 14:24:47 | 200 |   5.69ms |             ::1 | GET      "/assets/favicon.png"
[GIN] 2026/08/05 - 14:24:48 | 200 |   2.38ms |             ::1 | GET      "/login"
[GIN] 2026/08/05 - 14:24:48 | 200 |   3.86ms |             ::1 | GET      "/assets/index-C4cmSzCM.css"
[GIN] 2026/08/05 - 14:24:48 | 200 |   6.51ms |             ::1 | GET      "/assets/index-CJ4STKqk.js"
[GIN] 2026/08/05 - 14:24:48 | 200 | 22.723µs |             ::1 | GET      "/api/config"
[GIN] 2026/08/05 - 14:24:48 | 200 |   4.32ms |             ::1 | GET      "/assets/favicon.png"
[GIN] 2026/08/05 - 14:24:48 | 200 |      3ms |             ::1 | GET      "/login"
[GIN] 2026/08/05 - 14:24:48 | 200 |    8.9ms |             ::1 | GET      "/assets/index-CJ4STKqk.js"
[GIN] 2026/08/05 - 14:24:48 | 200 |   4.31ms |             ::1 | GET      "/assets/index-C4cmSzCM.css"
[GIN] 2026/08/05 - 14:24:48 | 200 | 46.817µs |             ::1 | GET      "/api/config"
[GIN] 2026/08/05 - 14:24:48 | 200 |    5.6ms |             ::1 | GET      "/assets/favicon.png"
[GIN] 2026/08/05 - 14:24:48 | 200 |   3.69ms |             ::1 | GET      "/login"
[GIN] 2026/08/05 - 14:24:48 | 200 |   3.74ms |             ::1 | GET      "/assets/index-C4cmSzCM.css"
[GIN] 2026/08/05 - 14:24:48 | 200 |   8.81ms |             ::1 | GET      "/assets/index-CJ4STKqk.js"
[GIN] 2026/08/05 - 14:24:48 | 200 | 34.832µs |             ::1 | GET      "/api/config"
[GIN] 2026/08/05 - 14:24:48 | 200 |   4.88ms |             ::1 | GET      "/assets/favicon.png"
[GIN] 2026/08/05 - 14:24:49 | 200 |   2.25ms |             ::1 | GET      "/login"
[GIN] 2026/08/05 - 14:24:49 | 200 |    2.6ms |             ::1 | GET      "/assets/index-C4cmSzCM.css"
[GIN] 2026/08/05 - 14:24:49 | 200 |   7.68ms |             ::1 | GET      "/assets/index-CJ4STKqk.js"
[GIN] 2026/08/05 - 14:24:49 | 200 | 23.427µs |             ::1 | GET      "/api/config"
[GIN] 2026/08/05 - 14:24:49 | 200 |    5.4ms |             ::1 | GET      "/assets/favicon.png"
[GIN] 2026/08/05 - 14:24:49 | 200 |   2.74ms |             ::1 | GET      "/login"
[GIN] 2026/08/05 - 14:24:49 | 200 |   4.01ms |             ::1 | GET      "/assets/index-C4cmSzCM.css"
[GIN] 2026/08/05 - 14:24:49 | 200 |   6.88ms |             ::1 | GET      "/assets/index-CJ4STKqk.js"
[GIN] 2026/08/05 - 14:24:49 | 200 | 17.226µs |             ::1 | GET      "/api/config"
[GIN] 2026/08/05 - 14:24:49 | 200 |   4.96ms |             ::1 | GET      "/assets/favicon.png"
[GIN] 2026/08/05 - 14:24:51 | 200 |  44.35ms |             ::1 | GET      "/login"
[GIN] 2026/08/05 - 14:24:51 | 200 |  22.49ms |             ::1 | GET      "/assets/index-C4cmSzCM.css"
[GIN] 2026/08/05 - 14:24:51 | 200 | 115.01ms |             ::1 | GET      "/assets/index-CBM3wLfU.js"
[GIN] 2026/08/05 - 14:24:51 | 200 |  60.86µs |             ::1 | GET      "/api/config"
[GIN] 2026/08/05 - 14:24:51 | 200 |   3.24ms |             ::1 | GET      "/assets/favicon.png"
[GIN] 2026/08/05 - 14:24:51 | 200 |   3.91ms |             ::1 | GET      "/login"
[GIN] 2026/08/05 - 14:24:51 | 200 |   2.72ms |             ::1 | GET      "/assets/index-C4cmSzCM.css"
[GIN] 2026/08/05 - 14:24:51 | 200 |   5.09ms |             ::1 | GET      "/assets/index-CBM3wLfU.js"
[GIN] 2026/08/05 - 14:24:51 | 200 | 20.341µs |             ::1 | GET      "/api/config"
[GIN] 2026/08/05 - 14:24:51 | 200 |   3.52ms |             ::1 | GET      "/assets/favicon.png"
[GIN] 2026/08/05 - 14:25:44 | 200 |  20.52ms |             ::1 | GET      "/login"
[GIN] 2026/08/05 - 14:25:44 | 200 |  18.26ms |             ::1 | GET      "/assets/index-C4cmSzCM.css"
[GIN] 2026/08/05 - 14:25:44 | 200 | 145.46ms |             ::1 | GET      "/assets/index-CdCNhdNM.js"
[GIN] 2026/08/05 - 14:25:44 | 200 | 30.207µs |             ::1 | GET      "/api/config"
[GIN] 2026/08/05 - 14:25:44 | 200 |   4.35ms |             ::1 | GET      "/assets/favicon.png"
[GIN] 2026/08/05 - 14:25:45 | 304 |   3.54ms |             ::1 | GET      "/login"
[GIN] 2026/08/05 - 14:25:45 | 304 |   2.67ms |             ::1 | GET      "/assets/index-C4cmSzCM.css"
[GIN] 2026/08/05 - 14:25:45 | 304 |   2.94ms |             ::1 | GET      "/assets/index-CdCNhdNM.js"
[GIN] 2026/08/05 - 14:25:45 | 200 | 21.248µs |             ::1 | GET      "/api/config"
[GIN] 2026/08/05 - 14:25:45 | 304 |   3.25ms |             ::1 | GET      "/assets/favicon.png"
[GIN] 2026/08/05 - 14:25:46 | 304 |    3.7ms |             ::1 | GET      "/login"
[GIN] 2026/08/05 - 14:25:46 | 304 |   2.82ms |             ::1 | GET      "/assets/index-CdCNhdNM.js"
[GIN] 2026/08/05 - 14:25:46 | 304 |   3.13ms |             ::1 | GET      "/assets/index-C4cmSzCM.css"
[GIN] 2026/08/05 - 14:25:46 | 200 | 31.497µs |             ::1 | GET      "/api/config"
[GIN] 2026/08/05 - 14:25:46 | 304 |   2.94ms |             ::1 | GET      "/assets/favicon.png"
[GIN] 2026/08/05 - 14:25:56 | 304 |   4.74ms |             ::1 | GET      "/assets/index-C4cmSzCM.css"
[GIN] 2026/08/05 - 14:25:56 | 200 |   2.08ms |             ::1 | GET      "/.well-known/appspecific/com.chrome.devtools.json"
[GIN] 2026/08/05 - 14:26:16 | 304 |   2.72ms |             ::1 | GET      "/login"
[GIN] 2026/08/05 - 14:26:16 | 304 |   2.31ms |             ::1 | GET      "/.well-known/appspecific/com.chrome.devtools.json"
[GIN] 2026/08/05 - 14:26:16 | 304 |   3.02ms |             ::1 | GET      "/assets/index-C4cmSzCM.css"
[GIN] 2026/08/05 - 14:26:16 | 304 |   4.23ms |             ::1 | GET      "/assets/index-CdCNhdNM.js"
[GIN] 2026/08/05 - 14:26:16 | 200 | 28.088µs |             ::1 | GET      "/api/config"
[GIN] 2026/08/05 - 14:26:16 | 304 |   6.61ms |             ::1 | GET      "/assets/favicon.png"
[GIN] 2026/08/05 - 14:26:17 | 304 |   2.41ms |             ::1 | GET      "/login"
[GIN] 2026/08/05 - 14:26:17 | 304 |   2.83ms |             ::1 | GET      "/.well-known/appspecific/com.chrome.devtools.json"
[GIN] 2026/08/05 - 14:26:17 | 304 |   4.46ms |             ::1 | GET      "/assets/index-CdCNhdNM.js"
[GIN] 2026/08/05 - 14:26:17 | 304 |   3.71ms |             ::1 | GET      "/assets/index-C4cmSzCM.css"
[GIN] 2026/08/05 - 14:26:17 | 200 | 18.773µs |             ::1 | GET      "/api/config"
[GIN] 2026/08/05 - 14:26:17 | 304 |    4.5ms |             ::1 | GET      "/assets/favicon.png"
[GIN] 2026/08/05 - 14:26:17 | 200 |  18.72ms |             ::1 | GET      "/login"
[GIN] 2026/08/05 - 14:26:17 | 200 |   2.45ms |             ::1 | GET      "/.well-known/appspecific/com.chrome.devtools.json"
[GIN] 2026/08/05 - 14:26:17 | 200 |  16.27ms |             ::1 | GET      "/assets/index-B2j9VKTH.css"
[GIN] 2026/08/05 - 14:26:17 | 200 | 171.55ms |             ::1 | GET      "/assets/index-OqrESs5o.js"
[GIN] 2026/08/05 - 14:26:18 | 200 | 21.206µs |             ::1 | GET      "/api/config"
[GIN] 2026/08/05 - 14:26:18 | 200 |   3.89ms |             ::1 | GET      "/assets/favicon.png"
[GIN] 2026/08/05 - 14:26:18 | 304 |   2.85ms |             ::1 | GET      "/login"
[GIN] 2026/08/05 - 14:26:18 | 304 |   2.95ms |             ::1 | GET      "/assets/index-B2j9VKTH.css"
[GIN] 2026/08/05 - 14:26:18 | 304 |   3.24ms |             ::1 | GET      "/assets/index-OqrESs5o.js"
[GIN] 2026/08/05 - 14:26:18 | 200 | 31.871µs |             ::1 | GET      "/api/config"
[GIN] 2026/08/05 - 14:26:18 | 304 |   3.79ms |             ::1 | GET      "/assets/favicon.png"
[GIN] 2026/08/05 - 14:26:18 | 304 |   2.87ms |             ::1 | GET      "/.well-known/appspecific/com.chrome.devtools.json"
[GIN] 2026/08/05 - 14:26:19 | 304 |   2.62ms |             ::1 | GET      "/login"
[GIN] 2026/08/05 - 14:26:19 | 304 |   2.06ms |             ::1 | GET      "/.well-known/appspecific/com.chrome.devtools.json"
[GIN] 2026/08/05 - 14:26:19 | 304 |    3.2ms |             ::1 | GET      "/assets/index-B2j9VKTH.css"
[GIN] 2026/08/05 - 14:26:19 | 304 |   3.61ms |             ::1 | GET      "/assets/index-OqrESs5o.js"
[GIN] 2026/08/05 - 14:26:19 | 200 |  31.67µs |             ::1 | GET      "/api/config"
[GIN] 2026/08/05 - 14:26:19 | 304 |   4.42ms |             ::1 | GET      "/assets/favicon.png"
[GIN] 2026/08/05 - 14:26:29 | 200 |   3.83ms |             ::1 | GET      "/login"
[GIN] 2026/08/05 - 14:26:29 | 200 |  13.79ms |             ::1 | GET      "/assets/index-B2j9VKTH.css"
[GIN] 2026/08/05 - 14:26:29 | 200 |   1.86ms |             ::1 | GET      "/.well-known/appspecific/com.chrome.devtools.json"
[GIN] 2026/08/05 - 14:26:29 | 200 |  106.1ms |             ::1 | GET      "/assets/index-OqrESs5o.js"
[GIN] 2026/08/05 - 14:26:29 | 200 | 73.778µs |             ::1 | GET      "/api/config"
[GIN] 2026/08/05 - 14:26:29 | 200 |   5.06ms |             ::1 | GET      "/assets/favicon.png"
[GIN] 2026/08/05 - 14:26:30 | 304 |   3.19ms |             ::1 | GET      "/login"
[GIN] 2026/08/05 - 14:26:30 | 304 |    2.7ms |             ::1 | GET      "/.well-known/appspecific/com.chrome.devtools.json"
[GIN] 2026/08/05 - 14:26:30 | 304 |   4.42ms |             ::1 | GET      "/assets/index-OqrESs5o.js"
[GIN] 2026/08/05 - 14:26:30 | 304 |   5.03ms |             ::1 | GET      "/assets/index-B2j9VKTH.css"
[GIN] 2026/08/05 - 14:26:30 | 200 | 26.237µs |             ::1 | GET      "/api/config"
[GIN] 2026/08/05 - 14:26:30 | 304 |   3.61ms |             ::1 | GET      "/assets/favicon.png"
[GIN] 2026/08/05 - 14:26:31 | 304 |   3.33ms |             ::1 | GET      "/login"
[GIN] 2026/08/05 - 14:26:31 | 304 |   2.32ms |             ::1 | GET      "/.well-known/appspecific/com.chrome.devtools.json"
[GIN] 2026/08/05 - 14:26:31 | 304 |   2.63ms |             ::1 | GET      "/assets/index-B2j9VKTH.css"
[GIN] 2026/08/05 - 14:26:31 | 304 |   3.37ms |             ::1 | GET      "/assets/index-OqrESs5o.js"
[GIN] 2026/08/05 - 14:26:31 | 200 | 35.094µs |             ::1 | GET      "/api/config"
[GIN] 2026/08/05 - 14:26:31 | 304 |    3.4ms |             ::1 | GET      "/assets/favicon.png"
[GIN] 2026/08/05 - 14:26:32 | 304 |   2.38ms |             ::1 | GET      "/login"
[GIN] 2026/08/05 - 14:26:32 | 304 |   3.44ms |             ::1 | GET      "/assets/index-OqrESs5o.js"
[GIN] 2026/08/05 - 14:26:32 | 304 |   3.83ms |             ::1 | GET      "/assets/index-B2j9VKTH.css"
[GIN] 2026/08/05 - 14:26:32 | 200 | 26.245µs |             ::1 | GET      "/api/config"
[GIN] 2026/08/05 - 14:26:32 | 304 |   3.78ms |             ::1 | GET      "/assets/favicon.png"
[GIN] 2026/08/05 - 14:26:32 | 304 |   2.73ms |             ::1 | GET      "/.well-known/appspecific/com.chrome.devtools.json"
[GIN] 2026/08/05 - 14:26:32 | 304 |   2.44ms |             ::1 | GET      "/login"
[GIN] 2026/08/05 - 14:26:32 | 304 |   3.98ms |             ::1 | GET      "/assets/index-B2j9VKTH.css"
[GIN] 2026/08/05 - 14:26:32 | 304 |   4.37ms |             ::1 | GET      "/assets/index-OqrESs5o.js"
[GIN] 2026/08/05 - 14:26:32 | 200 | 24.395µs |             ::1 | GET      "/api/config"
[GIN] 2026/08/05 - 14:26:32 | 304 |      3ms |             ::1 | GET      "/assets/favicon.png"
[GIN] 2026/08/05 - 14:26:32 | 304 |   2.66ms |             ::1 | GET      "/.well-known/appspecific/com.chrome.devtools.json"
[GIN] 2026/08/05 - 14:26:33 | 304 |   2.84ms |             ::1 | GET      "/login"
[GIN] 2026/08/05 - 14:26:33 | 304 |   2.77ms |             ::1 | GET      "/.well-known/appspecific/com.chrome.devtools.json"
[GIN] 2026/08/05 - 14:26:33 | 304 |   2.86ms |             ::1 | GET      "/assets/index-B2j9VKTH.css"
[GIN] 2026/08/05 - 14:26:33 | 304 |   3.52ms |             ::1 | GET      "/assets/index-OqrESs5o.js"
[GIN] 2026/08/05 - 14:26:33 | 200 | 18.281µs |             ::1 | GET      "/api/config"
[GIN] 2026/08/05 - 14:26:33 | 304 |    3.4ms |             ::1 | GET      "/assets/favicon.png"
[GIN] 2026/08/05 - 14:26:34 | 304 |   2.55ms |             ::1 | GET      "/login"
[GIN] 2026/08/05 - 14:26:34 | 304 |   2.99ms |             ::1 | GET      "/assets/index-B2j9VKTH.css"
[GIN] 2026/08/05 - 14:26:34 | 304 |   3.65ms |             ::1 | GET      "/assets/index-OqrESs5o.js"
[GIN] 2026/08/05 - 14:26:34 | 200 | 26.787µs |             ::1 | GET      "/api/config"
[GIN] 2026/08/05 - 14:26:34 | 304 |   3.49ms |             ::1 | GET      "/assets/favicon.png"
[GIN] 2026/08/05 - 14:26:34 | 304 |   3.66ms |             ::1 | GET      "/.well-known/appspecific/com.chrome.devtools.json"
[GIN] 2026/08/05 - 14:26:35 | 200 |   3.29ms |             ::1 | GET      "/dashboard"
[GIN] 2026/08/05 - 14:26:36 | 304 |   7.85ms |             ::1 | GET      "/login"
[GIN] 2026/08/05 - 14:26:36 | 304 |   2.98ms |             ::1 | GET      "/assets/index-B2j9VKTH.css"
[GIN] 2026/08/05 - 14:26:36 | 304 |   3.29ms |             ::1 | GET      "/assets/index-OqrESs5o.js"
[GIN] 2026/08/05 - 14:26:36 | 200 | 21.685µs |             ::1 | GET      "/api/config"
[GIN] 2026/08/05 - 14:26:36 | 304 |   1.93ms |             ::1 | GET      "/.well-known/appspecific/com.chrome.devtools.json"
[GIN] 2026/08/05 - 14:26:36 | 304 |   2.04ms |             ::1 | GET      "/assets/favicon.png"
[GIN] 2026/08/05 - 14:26:37 | 200 |   7.49ms |             ::1 | GET      "/login"
[GIN] 2026/08/05 - 14:26:37 | 304 |    2.9ms |             ::1 | GET      "/.well-known/appspecific/com.chrome.devtools.json"
[GIN] 2026/08/05 - 14:26:37 | 200 |   3.52ms |             ::1 | GET      "/assets/index-B2j9VKTH.css"
[GIN] 2026/08/05 - 14:26:37 | 200 |   6.58ms |             ::1 | GET      "/assets/index-OqrESs5o.js"
[GIN] 2026/08/05 - 14:26:37 | 200 | 23.425µs |             ::1 | GET      "/api/config"
[GIN] 2026/08/05 - 14:26:37 | 200 |   4.77ms |             ::1 | GET      "/assets/favicon.png"
[GIN] 2026/08/05 - 14:26:40 | 304 |   4.49ms |             ::1 | GET      "/login"
[GIN] 2026/08/05 - 14:26:40 | 304 |   2.68ms |             ::1 | GET      "/assets/index-B2j9VKTH.css"
[GIN] 2026/08/05 - 14:26:40 | 304 |   3.15ms |             ::1 | GET      "/assets/index-OqrESs5o.js"
[GIN] 2026/08/05 - 14:26:40 | 200 | 22.595µs |             ::1 | GET      "/api/config"
[GIN] 2026/08/05 - 14:26:40 | 304 |   4.25ms |             ::1 | GET      "/assets/favicon.png"
[GIN] 2026/08/05 - 14:28:00 | 200 |  58.44ms |             ::1 | POST     "/api/auth/login"
[GIN] 2026/08/05 - 14:28:00 | 200 |  16.58ms |             ::1 | GET      "/assets/ChatPage-BGAm5220.js"
[GIN] 2026/08/05 - 14:28:00 | 200 |  16.38ms |             ::1 | GET      "/assets/favicon.png"
[GIN] 2026/08/05 - 14:28:00 | 200 |  16.97ms |             ::1 | GET      "/assets/transactions-DJJTdEnA.js"
[GIN] 2026/08/05 - 14:28:03 | 200 |  54.29ms |             ::1 | GET      "/chat"
[GIN] 2026/08/05 - 14:28:03 | 200 |  11.41ms |             ::1 | GET      "/assets/index-B2j9VKTH.css"
[GIN] 2026/08/05 - 14:28:03 | 200 | 125.89ms |             ::1 | GET      "/assets/index-CmONSexD.js"
[GIN] 2026/08/05 - 14:28:03 | 200 |  23.09µs |             ::1 | GET      "/api/config"
[GIN] 2026/08/05 - 14:28:03 | 200 |   2.08ms |             ::1 | GET      "/assets/favicon.png"
[GIN] 2026/08/05 - 14:28:03 | 200 |  43.05ms |             ::1 | GET      "/assets/ChatPage-ChT4Cd-g.js"
[GIN] 2026/08/05 - 14:28:03 | 200 |  44.01ms |             ::1 | GET      "/assets/transactions-DNFW0vgY.js"
[GIN] 2026/08/05 - 14:28:03 | 200 | 169.445µs |             ::1 | GET      "/api/transactions"
[GIN] 2026/08/05 - 14:28:04 | 304 |   2.16ms |             ::1 | GET      "/assets/favicon.png"
[GIN] 2026/08/05 - 14:28:05 | 200 |  70.22ms |             ::1 | GET      "/assets/DashboardPage-Dav2iFy4.js"
[GIN] 2026/08/05 - 14:28:05 | 200 | 239.344µs |             ::1 | GET      "/api/dashboard/month?year=2026&month=8"
[GIN] 2026/08/05 - 14:28:31 | 304 |   6.41ms |             ::1 | GET      "/assets/favicon.png"
[GIN] 2026/08/05 - 14:28:37 | 304 |   4.79ms |             ::1 | GET      "/assets/index-B2j9VKTH.css"
[GIN] 2026/08/05 - 14:28:37 | 200 |   1.76ms |             ::1 | GET      "/.well-known/appspecific/com.chrome.devtools.json"
[GIN] 2026/08/05 - 14:28:40 | 200 |  62.66ms |             ::1 | POST     "/api/auth/login"
[GIN] 2026/08/05 - 14:28:40 | 200 | 110.203µs |             ::1 | GET      "/api/transactions"
[GIN] 2026/08/05 - 14:28:40 | 304 |   5.11ms |             ::1 | GET      "/assets/favicon.png"
[GIN] 2026/08/05 - 14:28:40 | 304 |   3.06ms |             ::1 | GET      "/assets/favicon.png"
[GIN] 2026/08/05 - 14:28:44 | 200 | 283.375µs |             ::1 | GET      "/api/dashboard/month?year=2026&month=8"
[GIN] 2026/08/05 - 14:28:44 | 304 |   5.42ms |             ::1 | GET      "/assets/favicon.png"
[GIN] 2026/08/05 - 14:28:47 | 200 | 141.476µs |             ::1 | GET      "/api/dashboard/quarter?year=2026&quarter=3"
[GIN] 2026/08/05 - 14:28:48 | 200 | 112.469µs |             ::1 | GET      "/api/dashboard/year?year=2026"
[GIN] 2026/08/05 - 14:28:48 | 200 | 187.942µs |             ::1 | GET      "/api/dashboard/month?year=2026&month=8"
[GIN] 2026/08/05 - 14:30:11 | 304 |   5.88ms |             ::1 | GET      "/assets/favicon.png"
[GIN] 2026/08/05 - 14:30:56 | 200 |  60.99ms |             ::1 | POST     "/api/auth/login"
[GIN] 2026/08/05 - 14:30:56 | 200 | 84.637µs |             ::1 | GET      "/api/transactions"
[GIN] 2026/08/05 - 14:30:56 | 304 |   4.15ms |             ::1 | GET      "/assets/favicon.png"
[GIN] 2026/08/05 - 14:31:08 | 200 | 267.336µs |             ::1 | GET      "/api/dashboard/month?year=2026&month=8"
[GIN] 2026/08/05 - 14:31:09 | 200 | 107.812µs |             ::1 | GET      "/api/dashboard/year?year=2026"
[GIN] 2026/08/05 - 14:31:10 | 200 | 107.662µs |             ::1 | GET      "/api/dashboard/quarter?year=2026&quarter=3"
[GIN] 2026/08/05 - 14:31:10 | 200 | 168.876µs |             ::1 | GET      "/api/dashboard/month?year=2026&month=8"
[GIN] 2026/08/05 - 14:31:11 | 200 | 93.146µs |             ::1 | GET      "/api/dashboard/quarter?year=2026&quarter=3"
[GIN] 2026/08/05 - 14:31:12 | 200 | 101.232µs |             ::1 | GET      "/api/dashboard/year?year=2026"
[GIN] 2026/08/05 - 14:31:12 | 200 | 111.634µs |             ::1 | GET      "/api/dashboard/month?year=2026&month=8"
[GIN] 2026/08/05 - 14:31:33 | 304 |   2.97ms |             ::1 | GET      "/.well-known/appspecific/com.chrome.devtools.json"
[GIN] 2026/08/05 - 14:31:49 | 200 |  17.53ms |             ::1 | GET      "/dashboard"
[GIN] 2026/08/05 - 14:32:12 | 200 |   3.34ms |             ::1 | GET      "/dashboard"
[GIN] 2026/08/05 - 14:32:13 | 200 |   2.81ms |             ::1 | GET      "/.well-known/appspecific/com.chrome.devtools.json"
[GIN] 2026/08/05 - 14:32:13 | 200 |  16.29ms |             ::1 | GET      "/assets/index-CC80QVDJ.css"
[GIN] 2026/08/05 - 14:32:13 | 200 | 161.47ms |             ::1 | GET      "/assets/index-Di4LSQpU.js"
[GIN] 2026/08/05 - 14:32:13 | 200 | 94.359µs |             ::1 | GET      "/api/config"
[GIN] 2026/08/05 - 14:32:13 | 200 |  25.08ms |             ::1 | GET      "/assets/favicon.png"
[GIN] 2026/08/05 - 14:32:13 | 200 |  71.46ms |             ::1 | GET      "/assets/transactions-CVWyrmNv.js"
[GIN] 2026/08/05 - 14:32:13 | 200 |  92.74ms |             ::1 | GET      "/assets/DashboardPage-PHqT0s9P.js"
[GIN] 2026/08/05 - 14:32:13 | 200 | 122.059µs |             ::1 | GET      "/api/dashboard/month?year=2026&month=8"
[GIN] 2026/08/05 - 14:33:06 | 304 |   2.78ms |             ::1 | GET      "/dashboard"
[GIN] 2026/08/05 - 14:33:06 | 304 |   2.97ms |             ::1 | GET      "/assets/index-CC80QVDJ.css"
[GIN] 2026/08/05 - 14:33:06 | 304 |   3.99ms |             ::1 | GET      "/assets/index-Di4LSQpU.js"
[GIN] 2026/08/05 - 14:33:06 | 304 |   2.33ms |             ::1 | GET      "/.well-known/appspecific/com.chrome.devtools.json"
[GIN] 2026/08/05 - 14:33:06 | 200 | 28.321µs |             ::1 | GET      "/api/config"
[GIN] 2026/08/05 - 14:33:06 | 304 |   3.91ms |             ::1 | GET      "/assets/transactions-CVWyrmNv.js"
[GIN] 2026/08/05 - 14:33:06 | 304 |   4.98ms |             ::1 | GET      "/assets/DashboardPage-PHqT0s9P.js"
[GIN] 2026/08/05 - 14:33:06 | 304 |    3.1ms |             ::1 | GET      "/assets/favicon.png"
[GIN] 2026/08/05 - 14:33:07 | 200 | 224.791µs |             ::1 | GET      "/api/dashboard/month?year=2026&month=8"
[GIN] 2026/08/05 - 14:33:12 | 304 |   2.41ms |             ::1 | GET      "/dashboard"
[GIN] 2026/08/05 - 14:33:12 | 200 | 43.177µs |             ::1 | GET      "/api/config"
[GIN] 2026/08/05 - 14:33:12 | 200 | 260.227µs |             ::1 | GET      "/api/dashboard/month?year=2026&month=8"
[GIN] 2026/08/05 - 14:33:23 | 200 |  13.52ms |             ::1 | GET      "/dashboard"
[GIN] 2026/08/05 - 14:33:23 | 200 |  13.52ms |             ::1 | GET      "/assets/index-CC80QVDJ.css"
[GIN] 2026/08/05 - 14:33:23 | 200 |   1.11ms |             ::1 | GET      "/.well-known/appspecific/com.chrome.devtools.json"
[GIN] 2026/08/05 - 14:33:24 | 200 | 116.23ms |             ::1 | GET      "/assets/index-RxMZyKpJ.js"
[GIN] 2026/08/05 - 14:33:24 | 200 |  26.85ms |             ::1 | GET      "/assets/transactions-f7VzfDhT.js"
[GIN] 2026/08/05 - 14:33:24 | 200 | 23.489µs |             ::1 | GET      "/api/config"
[GIN] 2026/08/05 - 14:33:24 | 200 |   1.55ms |             ::1 | GET      "/assets/favicon.png"
[GIN] 2026/08/05 - 14:33:24 | 200 |  64.76ms |             ::1 | GET      "/assets/DashboardPage-gS7JbuQu.js"
[GIN] 2026/08/05 - 14:33:24 | 200 | 224.641µs |             ::1 | GET      "/api/dashboard/month?year=2026&month=8"
[GIN] 2026/08/05 - 14:33:27 | 304 |   3.12ms |             ::1 | GET      "/dashboard"
[GIN] 2026/08/05 - 14:33:27 | 304 |   3.53ms |             ::1 | GET      "/assets/index-RxMZyKpJ.js"
[GIN] 2026/08/05 - 14:33:27 | 304 |   3.97ms |             ::1 | GET      "/assets/index-CC80QVDJ.css"
[GIN] 2026/08/05 - 14:33:27 | 304 |   2.02ms |             ::1 | GET      "/.well-known/appspecific/com.chrome.devtools.json"
[GIN] 2026/08/05 - 14:33:27 | 304 |      3ms |             ::1 | GET      "/assets/DashboardPage-gS7JbuQu.js"
[GIN] 2026/08/05 - 14:33:27 | 304 |   3.32ms |             ::1 | GET      "/assets/transactions-f7VzfDhT.js"
[GIN] 2026/08/05 - 14:33:27 | 200 | 13.637µs |             ::1 | GET      "/api/config"
[GIN] 2026/08/05 - 14:33:27 | 304 |   3.14ms |             ::1 | GET      "/assets/favicon.png"
[GIN] 2026/08/05 - 14:33:27 | 200 | 304.321µs |             ::1 | GET      "/api/dashboard/month?year=2026&month=8"
[GIN] 2026/08/05 - 14:37:07 | 304 |   2.75ms |             ::1 | GET      "/assets/favicon.png"
[GIN] 2026/08/05 - 14:37:07 | 200 |  44.42ms |             ::1 | GET      "/assets/ChatPage-CmFq_Kqf.js"
[GIN] 2026/08/05 - 14:37:07 | 200 | 183.217µs |             ::1 | GET      "/api/transactions"
[GIN] 2026/08/05 - 14:37:07 | 200 | 333.454µs |             ::1 | GET      "/api/dashboard/month?year=2026&month=8"
[GIN] 2026/08/05 - 14:37:09 | 200 | 173.261µs |             ::1 | GET      "/api/transactions"
[GIN] 2026/08/05 - 14:37:14 | 200 | 164.16µs |             ::1 | GET      "/api/dashboard/month?year=2026&month=8"
[GIN] 2026/08/05 - 14:37:15 | 200 | 85.406µs |             ::1 | GET      "/api/transactions"
[GIN] 2026/08/05 - 14:37:16 | 200 | 143.339µs |             ::1 | GET      "/api/dashboard/month?year=2026&month=8"
[GIN] 2026/08/05 - 14:37:17 | 200 | 115.202µs |             ::1 | GET      "/api/transactions"
