[GIN] 2026/08/05 - 14:18:05 | 304 |   2.65ms |             ::1 | GET      "/assets/index-7ZO1wkAH.css"
[GIN] 2026/08/05 - 14:18:05 | 304 |   3.14ms |             ::1 | GET      "/assets/index-BJx1pmqO.js"
[GIN] 2026/08/05 - 14:18:05 | 200 | 19.018µs |             ::1 | GET      "/api/config"
[GIN] 2026/08/05 - 14:18:05 | 304 |   3.48ms |             ::1 | GET      "/assets/favicon.png"
[GIN] 2026/08/05 - 14:18:03 | 304 |   3.08ms |             ::1 | GET      "/login"
[GIN] 2026/08/05 - 14:18:03 | 304 |   2.58ms |             ::1 | GET      "/assets/index-BJx1pmqO.js"
[GIN] 2026/08/05 - 14:18:03 | 304 |   2.99ms |             ::1 | GET      "/assets/index-7ZO1wkAH.css"
[GIN] 2026/08/05 - 14:18:03 | 200 | 18.339µs |             ::1 | GET      "/api/config"
[GIN] 2026/08/05 - 14:18:03 | 304 |   3.63ms |             ::1 | GET      "/assets/favicon.png"
[GIN] 2026/08/05 - 14:18:04 | 304 |   3.27ms |             ::1 | GET      "/login"
[GIN] 2026/08/05 - 14:18:04 | 304 |   3.28ms |             ::1 | GET      "/assets/index-BJx1pmqO.js"
[GIN] 2026/08/05 - 14:18:04 | 304 |   3.67ms |             ::1 | GET      "/assets/index-7ZO1wkAH.css"
[GIN] 2026/08/05 - 14:18:04 | 200 | 20.035µs |             ::1 | GET      "/api/config"
[GIN] 2026/08/05 - 14:18:04 | 304 |   2.62ms |             ::1 | GET      "/assets/favicon.png"
[GIN] 2026/08/05 - 14:18:04 | 304 |   3.41ms |             ::1 | GET      "/login"
[GIN] 2026/08/05 - 14:18:04 | 304 |   2.37ms |             ::1 | GET      "/assets/index-BJx1pmqO.js"
[GIN] 2026/08/05 - 14:18:04 | 304 |    3.2ms |             ::1 | GET      "/assets/index-7ZO1wkAH.css"
[GIN] 2026/08/05 - 14:18:04 | 200 | 23.008µs |             ::1 | GET      "/api/config"
[GIN] 2026/08/05 - 14:18:04 | 304 |   3.15ms |             ::1 | GET      "/assets/favicon.png"
[GIN] 2026/08/05 - 14:18:16 | 304 |   4.81ms |             ::1 | GET      "/assets/index-7ZO1wkAH.css"
[GIN] 2026/08/05 - 14:18:16 | 200 |   1.78ms |             ::1 | GET      "/.well-known/appspecific/com.chrome.devtools.json"
[GIN] 2026/08/05 - 14:18:36 | 304 |    9.4ms |             ::1 | GET      "/login"
[GIN] 2026/08/05 - 14:18:36 | 304 |   6.01ms |             ::1 | GET      "/assets/index-7ZO1wkAH.css"
[GIN] 2026/08/05 - 14:18:36 | 304 |   2.71ms |             ::1 | GET      "/assets/index-BJx1pmqO.js"
[GIN] 2026/08/05 - 14:18:36 | 200 | 21.939µs |             ::1 | GET      "/api/config"
[GIN] 2026/08/05 - 14:18:36 | 304 |   3.17ms |             ::1 | GET      "/assets/favicon.png"
[GIN] 2026/08/05 - 14:18:35 | 304 |   5.83ms |             ::1 | GET      "/login"
[GIN] 2026/08/05 - 14:18:35 | 200 | 31.774µs |             ::1 | GET      "/api/config"
[GIN] 2026/08/05 - 14:19:52 | 304 |   3.37ms |             ::1 | GET      "/login"
[GIN] 2026/08/05 - 14:19:52 | 304 |   2.26ms |             ::1 | GET      "/assets/index-7ZO1wkAH.css"
[GIN] 2026/08/05 - 14:19:52 | 304 |   2.81ms |             ::1 | GET      "/assets/index-BJx1pmqO.js"
[GIN] 2026/08/05 - 14:19:52 | 200 | 65.179µs |             ::1 | GET      "/api/config"
[GIN] 2026/08/05 - 14:19:52 | 304 |    3.6ms |             ::1 | GET      "/assets/favicon.png"
[GIN] 2026/08/05 - 14:19:53 | 304 |    2.7ms |             ::1 | GET      "/login"
[GIN] 2026/08/05 - 14:19:53 | 200 | 26.339µs |             ::1 | GET      "/api/config"
[GIN] 2026/08/05 - 14:19:54 | 304 |      4ms |             ::1 | GET      "/login"
[GIN] 2026/08/05 - 14:19:54 | 200 |  19.68µs |             ::1 | GET      "/api/config"
[GIN] 2026/08/05 - 14:19:55 | 304 |    5.9ms |             ::1 | GET      "/login"
[GIN] 2026/08/05 - 14:19:55 | 200 | 29.382µs |             ::1 | GET      "/api/config"
[GIN] 2026/08/05 - 14:19:55 | 304 |   7.05ms |             ::1 | GET      "/login"
[GIN] 2026/08/05 - 14:19:55 | 200 | 26.112µs |             ::1 | GET      "/api/config"
[GIN] 2026/08/05 - 14:20:08 | 200 |  65.26ms |             ::1 | POST     "/api/auth/login"
[GIN] 2026/08/05 - 14:20:08 | 304 |   5.72ms |             ::1 | GET      "/assets/favicon.png"
[GIN] 2026/08/05 - 14:20:08 | 200 |  44.67ms |             ::1 | GET      "/assets/ChatPage-boGh1fuJ.js"
[GIN] 2026/08/05 - 14:20:08 | 200 |  44.74ms |             ::1 | GET      "/assets/transactions-UJmINlj2.js"
[GIN] 2026/08/05 - 14:20:08 | 200 | 294.317µs |             ::1 | GET      "/api/transactions"
[GIN] 2026/08/05 - 14:20:09 | 200 |  83.46ms |             ::1 | GET      "/assets/DashboardPage-D7Q0juc4.js"
[GIN] 2026/08/05 - 14:20:09 | 200 | 262.238µs |             ::1 | GET      "/api/dashboard/month?year=2026&month=8"
[GIN] 2026/08/05 - 14:20:20 | 200 | 99.492µs |             ::1 | GET      "/api/transactions"
[GIN] 2026/08/05 - 14:20:20 | 304 |    3.7ms |             ::1 | GET      "/assets/favicon.png"
[GIN] 2026/08/05 - 14:20:21 | 200 | 118.49µs |             ::1 | GET      "/api/dashboard/month?year=2026&month=8"
[GIN] 2026/08/05 - 14:20:22 | 200 | 100.348µs |             ::1 | GET      "/api/dashboard/quarter?year=2026&quarter=3"
[GIN] 2026/08/05 - 14:20:23 | 200 | 272.313µs |             ::1 | GET      "/api/dashboard/year?year=2026"
[GIN] 2026/08/05 - 14:20:23 | 200 | 239.245µs |             ::1 | GET      "/api/dashboard/month?year=2026&month=8"
[GIN] 2026/08/05 - 14:20:30 | 304 |   3.69ms |             ::1 | GET      "/login"
[GIN] 2026/08/05 - 14:20:30 | 304 |   2.61ms |             ::1 | GET      "/assets/index-7ZO1wkAH.css"
[GIN] 2026/08/05 - 14:20:30 | 304 |   4.21ms |             ::1 | GET      "/assets/index-BJx1pmqO.js"
[GIN] 2026/08/05 - 14:20:30 | 200 | 23.468µs |             ::1 | GET      "/api/config"
[GIN] 2026/08/05 - 14:20:31 | 304 |   3.35ms |             ::1 | GET      "/login"
[GIN] 2026/08/05 - 14:20:31 | 200 | 28.333µs |             ::1 | GET      "/api/config"
[GIN] 2026/08/05 - 14:20:31 | 304 |   3.75ms |             ::1 | GET      "/login"
[GIN] 2026/08/05 - 14:20:31 | 200 | 48.357µs |             ::1 | GET      "/api/config"
[GIN] 2026/08/05 - 14:20:32 | 304 |   3.81ms |             ::1 | GET      "/login"
[GIN] 2026/08/05 - 14:20:32 | 200 | 24.405µs |             ::1 | GET      "/api/config"
[GIN] 2026/08/05 - 14:20:36 | 304 |   2.72ms |             ::1 | GET      "/login"
[GIN] 2026/08/05 - 14:20:36 | 200 | 30.196µs |             ::1 | GET      "/api/config"
[GIN] 2026/08/05 - 14:20:36 | 304 |   3.19ms |             ::1 | GET      "/assets/favicon.png"
[GIN] 2026/08/05 - 14:20:49 | 304 |    7.7ms |             ::1 | GET      "/login"
[GIN] 2026/08/05 - 14:20:49 | 304 |   3.51ms |             ::1 | GET      "/assets/index-BJx1pmqO.js"
[GIN] 2026/08/05 - 14:20:49 | 304 |   3.49ms |             ::1 | GET      "/assets/index-7ZO1wkAH.css"
[GIN] 2026/08/05 - 14:20:49 | 200 | 33.617µs |             ::1 | GET      "/api/config"
[GIN] 2026/08/05 - 14:20:50 | 200 |   4.14ms |             ::1 | GET      "/login"
[GIN] 2026/08/05 - 14:20:50 | 200 |    2.9ms |             ::1 | GET      "/assets/index-7ZO1wkAH.css"
